Region,No,Yes
East Asia & Pacific,55.0,41.0
Europe & Central Asia,67.0,121.0
Latin America & Caribbean,101.0,11.0
Middle East & North Africa,43.0,45.0
North America,0.0,8.0
South Asia,24.0,8.0
Sub-Saharan Africa,62.0,104.0
