,Year,Cluster,Index,Infrastructure,Affordability,Consumer Readiness,Content and Services,Network coverage,Network performance,Spectrum,Mobile data affordability,Handset affordability,Taxation,Mobile Ownership,Basic Skills,Gender Equality,Local Relevance,Online Security,2G Population Coverage,3G Population Coverage,4G Population Coverage,5G Population Coverage,Mobile download speeds,Mobile upload speeds,Mobile latencies,Spectrum assigned in bands below 1GHz,Spectrum assigned in bands between 1-3GHz,Spectrum assigned in bands between 3-6GHz,Spectrum assigned in mmWave bands,Affordability of entry basket (1GB),Affordability of higher basket (5GB),Affordability of entry basket (1GB) for poorest 40%,Affordability of higher basket (5GB) for poorest 40%,Device affordability,Device affordability for poorest 40%,Cost of taxes on mobile data,Cost of taxes on handsets,Cost of sector specific taxes on mobile data,Mobile ownership,Literacy,School Life Expectancy,Gender gap in mobile ownership,Gender gap in mobile internet,Top-Level Domains (TLDs) per person,E-Government Score,Mobile Social Media Penetration,Locally developed apps per person,Digital Language Support,Language accessibility of top ranked apps,Cybersecurity Index,Readiness Score,Sustainability Score
count,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0,690.0
mean,2022.495652173913,1.481159420289855,63.44389855072464,66.98592753623188,58.3065652173913,72.02523188405797,59.604173913043475,85.15034782608696,57.51608695652175,49.597028985507244,52.66621739130435,57.5730579710145,71.0541304347826,66.90385507246377,70.8839275362319,78.28766666666667,59.53020289855072,59.899405797101444,97.0228115942029,94.0818695652174,87.64828985507246,27.558999999999997,38.78982608695652,51.26149275362319,82.49666666666666,57.619130434782605,53.216246376811604,29.497405797101447,7.959463768115943,65.12631884057971,54.47105797101449,50.693217391304344,40.37497101449275,65.0495652173913,50.09634782608695,72.85456521739131,60.584130434782615,79.72342028985507,66.90385507246377,86.21242028985507,55.55621739130434,81.24884057971015,75.3263768115942,54.71459420289855,59.26717391304348,52.601927536231884,71.66988405797102,57.239043478260875,63.58744927536232,59.899405797101444,66.71014492753623,68.95652173913044
std,1.11753860553658,1.1379807138841929,19.154420257562904,16.31982666320165,21.307129749701897,19.84255053968685,21.752014983623805,13.571364902138553,21.142236544136445,22.889989661837827,24.837120336887185,26.39202593342096,23.957578017262282,18.98546724574346,17.859805771643686,27.579000202461877,21.314844850227068,33.419722527017484,6.0056137919577175,9.459859086964574,19.38787244495865,37.520754961017275,31.3914236246632,25.985661653237756,13.099860341899136,23.89890704055993,24.07500222915847,38.72149095296158,22.6924090650382,24.198073645272363,25.562757150992933,25.846384133904976,25.611405632553844,25.886722489764296,27.260877596106493,22.659115670303237,32.63323461361527,33.944513918299975,18.98546724574346,17.566435002328294,20.63995565791749,26.392568303286325,31.24569528648997,22.55679634070061,23.913087033654694,27.520854953693927,20.55815794378695,30.60932414286319,30.183793306839704,33.419722527017484,16.735890402221298,13.100521026442355
min,2021.0,0.0,10.52,14.56,3.45,15.72,7.83,21.6,3.23,8.3,0.0,0.0,0.0,24.7,17.71,0.0,8.34,0.0,56.0,40.0,0.0,0.0,0.59,3.15,0.0,8.88,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,30.63,0.93,0.0,0.0,0.0,2.3,1.73,12.1,3.01,0.0,0.0,45.0,50.0
25%,2021.25,0.0,49.805,56.175,43.955,60.3175,42.0475,81.5625,41.515,31.52,33.3275,39.535,59.02,51.67,60.75,66.7325,40.4075,27.74,97.825,94.0,85.0,0.0,14.365,29.755,81.0875,38.1,35.0,0.0,0.0,45.9225,36.675,29.84,19.3275,47.792500000000004,30.7175,59.84,33.02,61.42,51.67,79.0,41.59,74.36,59.684999999999995,37.192499999999995,39.7225,26.085,58.1025,28.25,39.525,27.74,60.0,65.0
50%,2022.0,2.0,64.89,64.935,58.59,79.24,60.095,88.2,53.835,42.81,54.915,56.195,75.48,70.565,74.73,90.92,63.120000000000005,68.46000000000001,99.3,98.0,96.5,0.54,25.825,49.665,85.685,55.065,51.67,0.0,0.0,68.155,57.72,52.295,41.915000000000006,64.305,47.834999999999994,73.73,66.67,100.0,70.565,95.0,55.19,93.06,91.11,54.555,60.89,60.905,73.785,60.41,70.03999999999999,68.46000000000001,60.0,65.0
75%,2023.0,2.0,80.2975,80.1275,76.15,87.4,79.54249999999999,95.24,71.07249999999999,70.97,72.95,81.2975,89.86,84.6575,83.14,98.815,77.9575,92.595,100.0,99.3,99.0,60.0,55.95,69.22749999999999,89.64750000000001,80.0,75.0,75.0,0.0,85.6075,74.7675,71.29249999999999,61.4975,89.05499999999999,73.33,96.43,92.48,100.0,84.6575,99.0,70.28,100.0,100.0,72.6875,79.85249999999999,74.1925,87.7025,84.2775,91.0,92.595,90.0,85.0
max,2024.0,3.0,93.28,98.83,100.0,96.24,94.4,100.0,98.18,99.38,100.0,100.0,100.0,95.17,99.5,100.0,93.11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.53,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,85.0
