ISO Code,Country,Region,Year,Cluster,Index,Infrastructure,Affordability,Consumer Readiness,Content and Services,Network coverage,Network performance,Spectrum,Mobile data affordability,Handset affordability,Taxation,Mobile Ownership,Basic Skills,Gender Equality,Local Relevance,Online Security,2G Population Coverage,3G Population Coverage,4G Population Coverage,5G Population Coverage,Mobile download speeds,Mobile upload speeds,Mobile latencies,Spectrum assigned in bands below 1GHz,Spectrum assigned in bands between 1-3GHz,Spectrum assigned in bands between 3-6GHz,Spectrum assigned in mmWave bands,Affordability of entry basket (1GB),Affordability of higher basket (5GB),Affordability of entry basket (1GB) for poorest 40%,Affordability of higher basket (5GB) for poorest 40%,Device affordability,Device affordability for poorest 40%,Cost of taxes on mobile data,Cost of taxes on handsets,Cost of sector specific taxes on mobile data,Mobile ownership,Literacy,School Life Expectancy,Gender gap in mobile ownership,Gender gap in mobile internet,Top-Level Domains (TLDs) per person,E-Government Score,Mobile Social Media Penetration,Locally developed apps per person,Digital Language Support,Language accessibility of top ranked apps,Cybersecurity Index,Readiness Score,Sustainability Score,Potential Deployment
ALB,Albania,Europe & Central Asia,2024,3,72.21,80.12,64.72,87.14,60.17,92.43,79.71,56.31,54.29,68.63,77.78,84.92,80.04,96.45,53.59,86.51,99.87,99.0,99.0,32.45,71.96,75.2,91.98,52.19,70.7,60.0,0.0,68.64,51.8,56.79,39.95,75.05,62.21,66.67,66.67,100.0,84.92,98.1,61.98,92.91,100.0,62.18,81.44,49.91,75.8,39.32,0.0,86.51,45,50,No
ARE,United Arab Emirates,Middle East & North Africa,2021,0,88.14,90.33,90.53,92.17,80.06,98.98,89.14,75.43,77.85,98.48,100.0,87.15,89.37,100.0,75.56,98.06,100.0,100.0,99.7,91.0,92.05,85.62,89.75,80.86,66.67,100.0,0.0,89.61,76.72,78.97,66.08,100.0,96.97,100.0,100.0,100.0,87.15,98.0,80.75,100.0,100.0,69.65,90.07,100.0,93.98,38.13,62.0,98.06,90,85,Yes
ARE,United Arab Emirates,Middle East & North Africa,2022,0,90.52,93.6,96.43,92.24,80.65,99.61,96.68,75.43,91.08,100.0,100.0,87.34,89.37,100.0,76.3,98.06,100.0,100.0,99.7,97.32,100.0,100.0,90.04,80.86,66.67,100.0,0.0,98.35,94.45,87.7,83.81,100.0,100.0,100.0,100.0,100.0,87.34,98.0,80.75,100.0,100.0,68.95,90.14,100.0,95.12,40.62,63.5,98.06,90,85,Yes
ARE,United Arab Emirates,Middle East & North Africa,2023,0,90.39,94.47,95.07,92.3,80.51,99.78,97.01,78.76,87.69,100.0,100.0,87.53,89.37,100.0,76.13,98.06,100.0,100.0,99.7,99.0,100.0,100.0,91.02,80.86,66.67,100.0,66.67,100.0,84.54,92.31,73.9,100.0,100.0,100.0,100.0,100.0,87.53,98.0,80.75,100.0,100.0,69.76,90.14,100.0,94.65,40.9,60.5,98.06,90,85,Yes
ARE,United Arab Emirates,Middle East & North Africa,2024,0,89.52,94.62,89.57,92.36,82.03,99.78,97.39,78.76,73.93,100.0,100.0,87.71,89.37,100.0,77.54,100.0,100.0,100.0,99.7,99.0,100.0,100.0,92.16,80.86,66.67,100.0,66.67,81.85,79.84,71.21,62.82,100.0,100.0,100.0,100.0,100.0,87.71,98.0,80.75,100.0,100.0,70.51,91.63,100.0,92.02,47.19,64.29,100.0,90,85,Yes
ARG,Argentina,Latin America & Caribbean,2021,3,70.85,63.77,60.14,86.54,75.95,86.29,49.27,47.73,64.65,62.32,46.75,65.77,93.85,100.0,82.4,50.12,98.87,96.0,95.0,0.0,23.8,40.23,83.77,68.95,44.17,0.0,0.0,77.79,70.64,58.67,51.52,72.67,51.96,56.5,0.0,83.74,65.77,99.0,88.7,100.0,100.0,60.59,82.8,84.86,82.8,96.36,92.0,50.12,45,50,No
ARG,Argentina,Latin America & Caribbean,2022,3,71.24,63.65,61.24,87.86,75.21,86.29,48.97,47.73,72.69,57.03,46.75,67.59,95.98,100.0,81.48,50.12,98.87,96.0,95.0,0.0,23.2,40.21,83.49,68.95,44.17,0.0,0.0,86.05,77.56,67.82,59.32,66.9,47.15,56.5,0.0,83.74,67.59,99.0,92.96,100.0,100.0,60.38,80.89,79.32,83.06,96.68,95.0,50.12,45,50,No
ARG,Argentina,Latin America & Caribbean,2023,3,70.2,65.63,56.74,88.44,73.73,86.69,53.53,47.73,71.97,46.51,46.75,69.34,95.98,100.0,79.64,50.12,98.87,96.0,96.0,0.0,31.66,44.61,84.32,68.95,44.17,0.0,0.0,88.65,74.53,69.4,55.28,56.94,36.09,56.5,0.0,83.74,69.34,99.0,92.96,100.0,100.0,60.39,80.89,67.58,82.01,100.0,95.5,50.12,45,50,No
ARG,Argentina,Latin America & Caribbean,2024,3,70.01,68.73,53.93,88.91,72.91,89.58,58.38,47.73,71.55,45.87,34.78,70.74,95.98,100.0,78.26,51.53,99.0,99.0,99.0,4.77,40.83,49.49,84.82,68.95,44.17,0.0,0.0,87.86,74.91,68.61,54.83,56.3,35.44,46.01,0.0,58.34,70.74,99.0,92.96,100.0,100.0,59.93,79.65,69.04,77.03,100.0,90.95,51.53,45,50,No
ARM,Armenia,Europe & Central Asia,2021,3,65.94,61.42,55.15,85.18,65.52,87.6,46.81,38.29,56.4,42.59,77.78,79.48,79.54,96.53,69.28,50.47,100.0,99.0,95.0,0.0,19.0,31.5,89.93,52.38,40.33,0.0,0.0,65.88,57.4,55.41,46.92,48.27,36.92,66.67,66.67,100.0,79.48,99.91,59.16,93.06,100.0,60.29,71.11,71.97,85.22,78.89,29.0,50.47,45,50,No
